text,polarity,id,polarity_nb,polarity_svm,polarity_gpt
effective but too-tepid biopic,positive,3,positive,positive,2
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",positive,4,positive,positive,1
"one of the greatest family-oriented , fantasy-adventure movies ever .",positive,14,positive,positive,1
an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,positive,16,positive,positive,1
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",positive,19,positive,negative,1
offers a breath of the fresh air of true sophistication .,positive,20,positive,positive,1
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",positive,24,positive,negative,1
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",positive,29,positive,negative,2
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",positive,32,positive,positive,2
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",positive,35,positive,positive,1
an engaging overview of johnson's eccentric career .,positive,51,positive,negative,1
"in its ragged , cheap and unassuming way , the movie works .",positive,52,negative,negative,1
"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",positive,56,negative,negative,1
"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",positive,60,positive,positive,1
"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .",positive,74,positive,positive,1
"if this movie were a book , it would be a page-turner , you can't wait to see what happens next .",positive,78,negative,positive,1
"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .",positive,88,positive,positive,1
"if nothing else , this movie introduces a promising , unusual kind of psychological horror .",positive,96,negative,negative,1
"i enjoyed time of favor while i was watching it , but i was surprised at how quickly it faded from my memory .",positive,100,negative,negative,2
"chicago is sophisticated , brash , sardonic , completely joyful in its execution .",positive,101,positive,negative,1
steve irwin's method is ernest hemmingway at accelerated speed and volume .,positive,102,positive,positive,1
"it might be tempting to regard mr . andrew and his collaborators as oddballs , but mr . earnhart's quizzical , charming movie allows us to see them , finally , as artists .",positive,110,positive,positive,1
a feel-good picture in the best sense of the term .,positive,111,positive,positive,1
"this is what imax was made for : strap on a pair of 3-d goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space .",positive,132,positive,positive,1
"merely as a technical , logistical feat , russian ark marks a cinematic milestone .",positive,133,positive,negative,1
"[schweiger is] talented and terribly charismatic , qualities essential to both movie stars and social anarchists .",positive,134,negative,negative,1
an original gem about an obsession with time .,positive,136,positive,positive,1
"it's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene .",positive,141,negative,negative,2
