text,polarity,id,polarity_nb,polarity_svm
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",positive,1,NA,NA
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",positive,2,NA,NA
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",positive,5,NA,NA
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,positive,6,NA,NA
offers that rare combination of entertainment and education .,positive,7,NA,NA
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,positive,8,NA,NA
steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,positive,9,NA,NA
take care of my cat offers a refreshingly different slice of asian cinema .,positive,10,NA,NA
"this is a film well worth seeing , talking and singing heads and all .",positive,11,NA,NA
what really surprises about wisegirls is its low-key quality and genuine tenderness .,positive,12,NA,NA
"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",positive,13,NA,NA
"ultimately , it ponders the reasons we need stories so much .",positive,15,NA,NA
illuminating if overly talky documentary .,positive,17,NA,NA
a masterpiece four years in the making .,positive,18,NA,NA
"a thoughtful , provocative , insistently humanizing film .",positive,21,NA,NA
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",positive,22,NA,NA
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,positive,23,NA,NA
scores a few points for doing what it does with a dedicated and good-hearted professionalism .,positive,25,NA,NA
"occasionally melodramatic , it's also extremely effective .",positive,26,NA,NA
spiderman rocks,positive,27,NA,NA
an idealistic love story that brings out the latent 15-year-old romantic in everyone .,positive,28,NA,NA
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,positive,30,NA,NA
"guaranteed to move anyone who ever shook , rattled , or rolled .",positive,31,NA,NA
"light , cute and forgettable .",positive,33,NA,NA
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",positive,34,NA,NA
"though everything might be literate and smart , it never took off and always seemed static .",positive,36,NA,NA
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",positive,37,NA,NA
"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",positive,38,NA,NA
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",positive,39,NA,NA
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",positive,40,NA,NA
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",positive,41,NA,NA
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",positive,42,NA,NA
fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,positive,43,NA,NA
"'compleja e intelectualmente retadora , el ladr�n de orqu�deas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",positive,44,NA,NA
the film makes a strong case for the importance of the musicians in creating the motown sound .,positive,45,NA,NA
"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",positive,46,NA,NA
gosling provides an amazing performance that dwarfs everything else in the film .,positive,47,NA,NA
"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",positive,48,NA,NA
