"","id","country","publication_date","source","source_type","headline","headline_mt","m_fr_eco","m_fr_lab","m_fr_wel","m_fr_sec"
"1",1,"UK","2013-02-09","Daily Mirror","Print","Asylum girl 'fed up' in UK;
COURT","Asylum girl 'fed up' in UK;
COURT",0,0,0,1
"4",4,"UK","2012-03-16","telegraph.co.uk","Online","Archbishop of Canterbury, Dr Rowan Williams: CV;
Profile of the Archbishop of Canterbury, Dr Rowan Williams, who today announced
he is stepping down as leader of the Anglican Church.","Archbishop of Canterbury, Dr Rowan Williams: CV;
Profile of the Archbishop of Canterbury, Dr Rowan Williams, who today announced
he is stepping down as leader of the Anglican Church.",0,0,0,0
"5",5,"UK","2012-08-27","telegraph.co.uk","Online","France's 'scandalous' expulsion of Roma camps resumes;
French police on Monday dismantled a Roma camp near Paris, sweeping more than 70
people out just days after the government promised a less confrontational
approach to the ethnic minority migrants.","France's 'scandalous' expulsion of Roma camps resumes;
French police on Monday dismantled a Roma camp near Paris, sweeping more than 70
people out just days after the government promised a less confrontational
approach to the ethnic minority migrants.",0,1,1,0
"8",8,"UK","2016-12-13","mirror.co.uk","Online","Labour's stance on EU immigration is not sustainable, says party's Brexit
spokesman Keir Starmer;
Keir Starmer says Labour must change its stance on freedom of movement in the
wake of the Brexit vote","Labour's stance on EU immigration is not sustainable, says party's Brexit
spokesman Keir Starmer;
Keir Starmer says Labour must change its stance on freedom of movement in the
wake of the Brexit vote",0,1,0,0
"11",11,"UK","2016-03-03","The Guardian","Print","'It was petrifying': lorry driver attacked near Calais says he feared for his
life;
Mick Young, from Essex, needed hospital treatment after attack by refugees and
migrants angered by partial demolition of camp","'It was petrifying': lorry driver attacked near Calais says he feared for his
life;
Mick Young, from Essex, needed hospital treatment after attack by refugees and
migrants angered by partial demolition of camp",0,1,1,1
"14",14,"UK","2012-03-19","The Guardian","Print","Football: Muamba's fight for life: The refugee who plays like Vieira","Football: Muamba's fight for life: The refugee who plays like Vieira",0,1,1,0
"15",15,"UK","2017-08-20","The Guardian","Print","Sunday's best TV: The State; Dragons' Den; Astronauts - Do You Have What It
Takes?;
Peter Kosminsky's new drama about Islamic State kicks off, two new Dragons enter
the Den and 12 wannabe astronauts are put through their paces","Sunday's best TV: The State; Dragons' Den; Astronauts - Do You Have What It
Takes?;
Peter Kosminsky's new drama about Islamic State kicks off, two new Dragons enter
the Den and 12 wannabe astronauts are put through their paces",0,0,0,0
"16",16,"UK","2017-11-02","The Daily Telegraph","Print","Stowaways leap from bus into RAF base","Stowaways leap from bus into RAF base",0,0,0,1
"19",19,"UK","2016-10-08","The Daily Telegraph","Print","Syrian children in Germany attacked;
WORLD BULLETIN","Syrian children in Germany attacked;
WORLD BULLETIN",0,1,0,0
"23",23,"UK","2001-12-01","The Guardian","Print","In brief: 2,745 lose asylum battle","In brief: 2,745 lose asylum battle",0,0,0,0
"24",24,"UK","2014-11-19","telegraph.co.uk","Online","Julien Blanc banned from Britain;
'Pick-up artist' who attracted widespread criticism for encouraging allegedly
abusive behaviour towards women is barred by the Home Office","Julien Blanc banned from Britain;
'Pick-up artist' who attracted widespread criticism for encouraging allegedly
abusive behaviour towards women is barred by the Home Office",0,1,0,1
"29",29,"UK","2015-04-30","The Guardian","Print","West Midlands housing group tackles social integration;
A training course providing context and history for migration in the West
Midlands promotes community cohesion and the delivery of services","West Midlands housing group tackles social integration;
A training course providing context and history for migration in the West
Midlands promotes community cohesion and the delivery of services",0,1,0,0
"31",31,"UK","2016-09-08","The Daily Telegraph","Print","Camerawoman who tripped up migrants to face charges","Camerawoman who tripped up migrants to face charges",0,0,0,1
"33",33,"UK","2017-01-18","The Guardian","Print","French presidential candidate Emmanuel Macron's 'anti-system' angle is a sham;
Youthful and 'doubly liberal', the former economy minister is the surprise
package in the presidential race. But he's not the outsider he's portrayed as","French presidential candidate Emmanuel Macron's 'anti-system' angle is a sham;
Youthful and 'doubly liberal', the former economy minister is the surprise
package in the presidential race. But he's not the outsider he's portrayed as",0,0,0,0
"35",35,"UK","2013-08-02","telegraph.co.uk","Online","As long as the Tories carry on their grim anti-immigrant posturing, their
'Racist Party' image will remain","As long as the Tories carry on their grim anti-immigrant posturing, their
'Racist Party' image will remain",0,0,0,1
"36",36,"UK","2017-02-23","telegraph.co.uk","Online","Analysis: Five key charts as net migration from the EU overtakes that from the
rest of the world","Analysis: Five key charts as net migration from the EU overtakes that from the
rest of the world",0,1,1,0
"43",43,"UK","2011-07-01","Daily Mirror","Print","4,581,269 ..NUMBER OF PEOPLE LIVING IN IRELAND;
CENSUS SHOCK AS THE POPULATION BOOMS","4,581,269 ..NUMBER OF PEOPLE LIVING IN IRELAND;
CENSUS SHOCK AS THE POPULATION BOOMS",0,0,0,0
"44",44,"UK","2013-12-26","telegraph.co.uk","Online","UN accused of interfering over immigration;
United Nations should focus on key issues such as Syrian refugees rather than
interfering in British policy, senior MPs warn","UN accused of interfering over immigration;
United Nations should focus on key issues such as Syrian refugees rather than
interfering in British policy, senior MPs warn",1,1,1,1
"45",45,"UK","2005-02-01","The Daily Telegraph","Print","The ear-opening sound of a different agenda","The ear-opening sound of a different agenda",1,0,0,1
"46",46,"UK","2017-01-30","The Guardian","Print","US travel ban puts 20,000 refugees in 'precarious circumstances', UN says;
UN refers 'the most vulnerable' to governments for resettlement, refugee chief
said, adding that more than 800 people had been set to arrive in US this week","US travel ban puts 20,000 refugees in 'precarious circumstances', UN says;
UN refers 'the most vulnerable' to governments for resettlement, refugee chief
said, adding that more than 800 people had been set to arrive in US this week",0,0,1,1
