text,polarity,id,polarity_nb,polarity_svm,polarity_llama,polarity_llama_binary
"leave it to john sayles to take on developers , the chamber of commerce , tourism , historical pageants , and commercialism all in the same movie . . . without neglecting character development for even one minute .",positive,2674,negative,negative,"1

The text has a positive sentiment. The text talks about a movie that is full of action and character development.",1
"there's . . . tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .",positive,1065,positive,positive,"1

The text has a positive sentiment. The words ""tremendous,"" ""playfulness,"" and ""excitement"" all suggest a positive mood.",1
"to me , it sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy .",negative,9254,negative,negative,"2

The text has a negative sentiment. It is filled with negativity and anger towards men.",2
diane lane's sophisticated performance can't rescue adrian lyne's unfaithful from its sleazy moralizing .,negative,5601,positive,positive,"2

The text is negative. It criticizes adrian lyne's unfaithful for its sleazy moralizing.",2
"if the tuxedo actually were a suit , it would fit chan like a $99 bargain-basement special .",negative,6195,negative,negative,"1

The text is positive. The sentiment is positive. The text talks about a good fit and a bargain-basement special.",1
"has no reason to exist , other than to employ hollywood kids and people who owe favors to their famous parents .",negative,6274,positive,positive,"2

The text is negative. It talks about the lack of purpose and the exploitation of people based on their connections or fame.",2
"a brilliant , absurd collection of vignettes that , in their own idiosyncratic way , sum up the strange horror of life in the new millennium .",positive,5143,negative,positive,"1

The text is positive. The sentiment is positive despite the presence of the word ""horror"".",1
until its final minutes this is a perceptive study of two families in crisis -- and of two girls whose friendship is severely tested by bad luck and their own immaturity .,positive,3332,negative,positive,"1

The text is positive despite mentioning crisis and immaturity. The text mainly talks about the friendship between two girls and their struggles with bad luck and immaturity.",1
"this isn't a "" friday "" worth waiting for .",negative,8185,negative,negative,"2

The text is negative. The word ""not"" and ""worth"" convey a negative sentiment.",2
an engrossing iranian film about two itinerant teachers and some lost and desolate people they encounter in a place where war has savaged the lives and liberties of the poor and the dispossessed .,positive,5034,positive,positive,"1

The text is positive. It describes an engrossing film with a positive sentiment.",1
it may play well as a double feature with mainstream foreign mush like my big fat greek wedding,negative,5492,positive,positive,"2

The text has a negative sentiment. The text talks about ""mush"" and ""big fat Greek wedding,"" which are both negative connotations.",2
"<em>ash wednesday</em> is not edward burns' best film , but it is a good and ambitious film . and it marks him as one of the most interesting writer/directors working today .",positive,4703,positive,positive,"1

The text is positive. The writer expresses their opinion that ""Ash Wednesday"" is a good and ambitious film, and they also say that it marks Edward Burns as one of the most interesting writer/directors working today.",1
lightweight but appealing .,positive,1799,positive,positive,"1

The text is positive. The word ""appealing"" is positive, so the overall sentiment is positive.",1
"a melancholy , emotional film .",positive,5057,positive,positive,"2

The text is negative. The word ""melancholy"" and ""emotional"" are both words that are associated with negativity.",2
"it's as if allen , at 66 , has stopped challenging himself .",negative,10037,positive,positive,"1

The text is positive. Although it mentions a person's stopping of challenging themselves, it does not imply negativity.",1
shrewd but pointless .,negative,6909,negative,negative,"2

The text is negative. The word ""shrewd"" has a negative connotation, and the word ""pointless"" is also negative.",2
"by the end of it all i sort of loved the people onscreen , even though i could not stand them . perhaps the film should be seen as a conversation starter . it's not an easy one to review .",negative,10319,negative,positive,"1

The text is mostly positive, even though it admits that the film is difficult to review.",1
"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot .",negative,7262,positive,positive,"2

The text has a negative sentiment. The text talks about a person named Jason who is described as being ""positively anti-darwinian,"" which implies that he is not intelligent. The text also talks about Jason's ability to kill on auto-pilot, which is a metaphor for his ability to act impulsively without thinking about the consequences.",2
". . . has about 3/4th the fun of its spry 2001 predecessor � but it's a rushed , slapdash , sequel-for-the-sake- of-a-sequel with less than half the plot and ingenuity .",negative,8398,negative,negative,"2

The text has a negative sentiment. The text complains about the movie being rushed, slapdash, and lacking plot and ingenuity.",2
handsome and sincere but slightly awkward in its combination of entertainment and evangelical boosterism .,negative,8985,positive,positive,"1

The text is positive, even though it has a slightly negative tone.",1
leigh's film is full of memorable performances from top to bottom .,positive,1125,positive,positive,"1

The text is positive. The sentence is praising Leigh's film and its memorable performances.",1
a harmless and mildly amusing family comedy .,negative,8137,positive,negative,"1

The text is positive. The text describes a harmless and mildly amusing family comedy, which implies a positive sentiment.",1
"a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing in the final two",positive,2817,negative,positive,"1

The text is mostly positive, but ends on a negative note. The text describes a strong and confident work that works well for the first 89 minutes, but ends confusingly.",1
it isn't that stealing harvard is a horrible movie�if only it were that grand a failure ! it's just that it's so not-at-all-good . and i expect much more from a talent as outstanding as director bruce mcculloch .,negative,9498,negative,negative,"2

The text has a negative sentiment. The writer is complaining about the movie ""Stealing Harvard"" and how it is not a good movie.",2
maybe thomas wolfe was right : you can't go home again .,positive,1886,negative,negative,"1

The text is positive. The sentiment is positive. The text talks about the feeling of being unable to go home again, which can be seen as a positive or negative thing depending on the context. However, in this text, the sentiment is positive.",1
"labute can't avoid a fatal mistake in the modern era : he's changed the male academic from a lower-class brit to an american , a choice that upsets the novel's exquisite balance and shreds the fabric of the film .",negative,5707,positive,positive,"2

The text has a negative sentiment. It talks about labute's mistake and how it upsets the novel's balance and shreds the fabric of the film.",2
"all the sensuality , all the eroticism of a good vampire tale has been , pardon the pun , sucked out and replaced by goth goofiness .",negative,9016,negative,negative,"2

The text is negative. The sentiment is negative because the text talks about the removal of sensuality and eroticism from a vampire tale, and replaces it with goth goofiness.",2
